"","MS245","MS374","MS371","MS348","MS352"
"P40925",21.5113616985757,21.8445904457447,21.6077483896166,21.5578179014691,21.7800603207477
"O43491",19.7421727041498,19.801293217855,19.1669098103607,19.6461701417045,19.3380662076074
"P55084;Q8ND56",19.307989480031,19.5035545962891,19.4709415768086,20.1049416220665,19.64040016728
"P13489",20.0228105390154,19.6642207988993,20.0445077303553,20.4506452707769,20.189796482431
"P54652",19.8010282610191,19.470885241926,19.8540626779595,19.9414847144087,19.7741368535833
"P18669;O15357;Q8N0Y7",21.8052608146774,21.7939170852962,22.1012083578038,22.0031982189375,22.1564437191075
"Q15019",21.8715780134706,22.1509214040206,20.8485956493007,20.7888447675915,20.8998438352074
"P02689;P05413;P15090",22.7583072407074,22.8293387749063,20.603736342725,20.7389827506438,21.4828572589338
"P15121;C9JRZ8",20.1586492364997,20.7711167515321,20.0827531948046,19.7864862188686,19.9689631903081
"P62937;A2BFH1;O43447;Q9Y536",22.317929594853,22.2411113569741,22.1864405889446,22.1755342951616,22.1619621106336
"Q99497",21.4533190756,21.0277272167793,21.512657284954,21.2583686669785,21.3152459184461
"P68104;Q5VTE0",21.2680181415907,21.1411627188205,21.1858282962394,22.0526796156345,21.5024568508598
"Q06830",23.6552469575105,23.4395170765502,24.3008913292064,23.9931945514495,24.1369907370122
"P38646",19.4379059827507,19.7200279339646,19.1707904236512,19.6212384143584,19.2394392921738
"P21266",18.8865796871228,19.929780175118,18.8848501322271,19.9118858570808,20.4754401483507
"Q02252",19.626170809459,20.0033590801805,19.2471151540071,20.5375788374885,20.0126721579085
"P52209",19.6870428908311,19.558365371978,19.801928874095,20.0022274715969,20.0337314850192
"P50395;Q8TDN2",19.6988702294268,19.8757186368104,19.9160853201569,19.7710300727276,19.9461976447923
"Q09666",18.6012267160882,18.40488953381,18.5653615908362,18.6265423101912,18.0654649487049
"Q01813",18.9882229519327,18.7910633648097,19.0568174319375,19.3714843581214,19.1760473446423
"P09104",21.3451416160712,21.7863075472402,21.2576693314217,21.1360444548694,21.3193246491219
"P16070;Q8TAE7",20.8634811192603,20.7200991719255,21.2990180766943,21.8356469968284,21.5458041803756
"P02679",19.2739854542987,20.5462870695847,20.2327179706857,20.0048566941782,20.3580066722217
"Q00796",19.345718561696,19.2429030856076,19.7876118636208,20.2337300242085,19.288675533218
"P19367;P52789;Q2TB90",18.5066985935211,19.3708122225847,18.9434027050849,18.4068590433936,18.6089363545549
"Q01469;A8MUU1",21.1590416101486,20.3472037092848,21.1625858782015,20.825434381357,21.347371474967
"P38606",19.4039029236698,20.0125153675765,19.5837174182355,19.4566566676377,19.6479178504913
"P17174",20.0065004293088,20.5997128182585,19.9106608280619,19.6604905400215,20.0643020857954
